nombre,descripcion,estado,imagen,nombre_cientifico,acciones_recomendadas,organizaciones,amenazas,habitat,reubicacion
Salamandra de cueva olm,Reptil subterráneo que vive en aguas de cuevas extremadamente raro y vulnerable.,10,img/monitoreo/73_salamandra.webp,Proteus anguinus,"Proteger hábitats subterráneos","Karst Preservation Group","Contaminación de aguas subterráneas, alteración de cuevas","Sistemas de cuevas kársticas en Europa Central","Cuevas protegidas como Postojna y Škocjan (Eslovenia)"
Tortuga gigante de Galápagos,"Icono de conservación famosa por su longevidad y tamaño, y en peligro por la caza histórica.",85,img/monitoreo/74_tort.webp,Chelonoidis nigra,"Galápagos Conservancy","Caza histórica, especies invasoras como ratas y cabras","Islas Galápagos, Ecuador","Áreas protegidas del Parque Nacional Galápagos"
Pangolín chino,Un mamífero que se protege enrollándose muy amenazado por la caza ilegal para su piel y carne.,36,img/monitoreo/75_pangolin.webp,Manis pentadactyla,"Wildlife Conservation Society","Caza ilegal para medicina tradicional, tráfico de fauna","Bosques subtropicales y tropicales del este de Asia","Reservas forestales como Wuyishan y Dinghu Shan (China)"
Mariposa monarca,"Mariposa migratoria, conocida por su largo viaje anual entre América del Norte y México.",13,img/monitoreo/76_mariposa.webp,Danaus plexippus,"Monarch Butterfly Fund","Pérdida de plantas hospedantes (algodoncillo), pesticidas, deforestación","Bosques de oyamel en México, praderas de Norteamérica","Santuarios como Sierra Chincua y El Rosario (México)"
Ciervo almizclero,Un ciervo de pequeño tamaño nativo de Asia conocido por el uso de su almizcle en la perfumería.,76,img/monitoreo/77.webp,Moschus moschiferus,"Prohibir la caza para el almizcle","WWF China","Caza furtiva por el almizcle, pérdida de hábitat","Bosques montañosos de Asia, especialmente Himalaya y Siberia","Zonas protegidas como el Parque Nacional Sagarmatha (Nepal)"
Gorila de río Cross,Subespecie de gorila extremadamente rara que habita en las selvas de África central.,42,img/monitoreo/78_gorila.webp,Gorilla gorilla diehli,"Conservación de hábitats de montaña","Gorilla Protection Fund","Caza furtiva, enfermedades transmitidas por humanos, deforestación","Selvas montañosas del oeste de Camerún y Nigeria","Parque Nacional Takamanda y Santuario de Kagwene (Camerún)"
Cangrejo de los Yeti,Un cangrejo que habita en las profundidades marinas conocido por sus extrañas pinzas cubiertas de pelo.,32,img/monitoreo/79_cangrejo.webp,Kiwa hirsuta,"Monitoreo de hábitats profundos","Oceanic Preservation Society","Pesca profunda, contaminación por vertidos industriales y alteración de ecosistemas abisales","Fosas oceánicas del Pacífico","Zonas de conservación abisal como el Área Clarion-Clipperton"
Cebra de Grévy,Zebra africana que habita áreas secas amenazada por la caza y la competencia con el ganado.,82,img/monitoreo/80_cebra.webp,Equus grevyi,"Fomentar reservas naturales","African Wildlife Foundation","Pérdida de hábitat por expansión agrícola, caza furtiva y competencia con ganado doméstico","Sabana seca del Cuerno de África","Zonas protegidas como el Samburu National Reserve (Kenia)"
Antílope saiga,Antílope que vive en las estepas de Asia Central vulnerable por la caza y enfermedades.,24,img/monitoreo/81_antilope.webp,Saiga tatarica,"Control de caza furtiva","Saiga Conservation Alliance","Caza excesiva, enfermedades infecciosas y fragmentación del hábitat","Estepas de Kazajistán y Mongolia","Zonas de recuperación como la Reserva de Stepnoi (Rusia)"
Búho nival,Un búho blanco que habita las regiones árticas cuyas poblaciones han disminuido por el cambio climático.,87,img/monitoreo/82.webp,Bubo scandiacus,"Proteger zonas de anidación","BirdLife International","Cambio climático que afecta la disponibilidad de presas, caza ilegal","Tundra ártica","Refugios de vida silvestre como Arctic National Wildlife Refuge (EE. UU.)"
Águila harpía,Aguía de gran tamaño que habita las selvas tropicales con poblaciones reducidas por la deforestación.,42,img/monitoreo/83_aguila.webp,Harpia harpyja,"Conservar bosques tropicales","WWF","Deforestación masiva, caza para comercio ilegal de aves","Selvas tropicales de América Central y del Sur","Áreas protegidas como el Parque Nacional Darién (Panamá)"
Gato andino,Felino salvaje nativo de los Andes vulnerable por la pérdida de hábitat y la caza.,79,img/monitoreo/84_gato.webp,Leopardus jacobita,"Proteger áreas de montaña","WWF","Pérdida de hábitat por actividades mineras, caza furtiva","Cordilleras andinas altas","Reservas como la Reserva de Fauna Andina Eduardo Avaroa (Bolivia)"
Dragón de Komodo,Reptil gigante nativo de Indonesia muy amenazado por la caza y la destrucción de su hábitat.,72,img/monitoreo/85_dragon.webp,Varanus komodoensis,"Proteger su hábitat natural","Komodo Dragon Conservation Program","Caza ilegal, pérdida de hábitat por urbanización y turismo descontrolado","Islas volcánicas de Indonesia","Parques nacionales de Indonesia, como el Parque Nacional Komodo"
Oso panda gigante,"Emblemático de la conservación conocido por su dieta exclusiva de bambú, en grave peligro por la destrucción de bosques.",100,img/monitoreo/86_oso.webp,Ailuropoda melanoleuca,"WWF","Pérdida de hábitat por tala y fragmentación de bosques, cambio climático","Bosques templados de bambú en China","Reservas como la Reserva de la Biosfera de Wolong (China)"
Águila filipina,Una de las aves rapaces más grandes del mundo amenazada por la deforestación y la caza ilegal.,38,img/monitoreo/87_aguila.webp,Pithecophaga jefferyi,"Protección de bosques tropicales","Philippine Eagle Foundation","Deforestación, caza ilegal por su valor cultural y comercial","Bosques húmedos de Filipinas","Bosques remotos en Mindanao y Luzón, áreas protegidas"
Lobo de crin,Un lobo sudamericano con crin que habita las pampas en grave peligro por la caza y la pérdida de hábitat.,47,img/monitoreo/88.webp,Chrysocyon brachyurus,"Asegurar su hábitat","WWF","Caza ilegal, destrucción de hábitat por actividades agropecuarias","Sabana y pastizales del Cerrado brasileño","Parques nacionales y reservas de la región del Cerrado"
Pingüino de Galápagos,El único pingüino que vive cerca del ecuador amenazado por el cambio climático y la depredación.,56,img/monitoreo/89.webp,Spheniscus mendiculus,"Protección de hábitats costeros","Galápagos Conservancy","Cambio climático, depredadores invasores como gatos y ratas","Costas rocosas de las Islas Galápagos","Islas Galápagos y zonas cercanas libres de especies invasoras"
Buitre egipcio,Ave carroñera que se encuentra en grave peligro debido a la caza y la destrucción de su hábitat.,83,img/monitoreo/90_buitre.webp,Neophron percnopterus,"Proteger áreas de anidación","BirdLife International","Caza, pérdida de hábitat y envenenamiento por pesticidas","Zonas montañosas, desiertos y acantilados del norte de África y Asia","Áreas protegidas en el norte de África y el Oriente Medio"
Delfín rosado del Amazonas,"Mamífero acuático de color rosado que habita en los ríos del Amazonas, amenazado por la contaminación y la pesca.",100,img/monitoreo/91_delfin.webp,Inia geoffrensis,"WWF Brasil","Contaminación del agua con metales pesados, pesca incidental, construcción de represas","Ríos y afluentes del Amazonas","Reservas en la cuenca amazónica, áreas protegidas en Brasil"
Periquito de Mauricio,"Una especie de loro pequeña que ha estado extinta en la naturaleza, pero se está rehabilitando en cautiverio.",100,img/monitoreo/92.webp,Psittacula echo,"Mauritius Wildlife Foundation","Introducción de especies invasoras como ratas y gatos","Bosques endémicos de la Isla Mauricio","Isla Mauricio, áreas protegidas libres de invasores"
Gaviota rosada,Ave costera conocida por su color rosado amenazada por la pérdida de hábitat y la contaminación.,94,img/monitoreo/93_gaviota.webp,Rhodostethia rosea,"Proteger hábitats costeros","BirdLife International","Contaminación del agua, destrucción del hábitat por desarrollo costero","Zonas costeras del Ártico y subártico","Islas y costas protegidas en el Ártico"
Tortuga laúd,La tortuga marina más grande conocida por sus migraciones y en grave peligro por la caza y la pesca.,81,img/monitoreo/94_tortuga.webp,Dermochelys coriacea,"Proteger playas de anidación","Marine Conservation Group","Pesca incidental, pérdida de hábitat por destrucción de playas de anidación","Océanos tropicales y subtropicales","Playas protegidas de la costa de Costa Rica y otros países del Caribe"
Pez espátula chino,Peces de agua dulce que habitan ríos en China muy amenazados por la sobrepesca y la contaminación.,10,img/monitoreo/95_pez.webp,Psephurus gladius,"Monitorear ríos y pesquerías","WWF China","Pesca excesiva, contaminación industrial y represas que bloquean su migración","Río Yangtsé en China","Zonas protegidas en la cuenca del Yangtsé"
Cabra de los Pirineos,"Una cabra salvaje de los Pirineos que se extinguió pero cuyo ADN ha sido preservado, hay esfuerzos de resurrección.",97,img/monitoreo/96_cabra.webp,Capra pyrenaica,"WWF España","Caza histórica, pérdida de hábitat y problemas genéticos","Montañas rocosas de los Pirineos","Proyectos de reintroducción en áreas de montaña de los Pirineos"
Lémur de cola anillada,Especie de lémur conocida por su distintiva cola anillada muy amenazada por la caza y la destrucción del hábitat.,100,img/monitoreo/97_lemur.webp,Lemur catta,"Fortalecer áreas de conservación","WWF Madagascar","Destrucción de hábitat por tala y agricultura, caza furtiva","Bosques secos de Madagascar","Áreas protegidas en Madagascar, como la Reserva de Anja"
Mono capuchino de pecho amarillo,Un pequeño primate de América Central vulnerable a la pérdida de hábitat y la caza.,79,img/monitoreo/98_mono.webp,Cebus xanthosternos,"Asegurar protección de bosques","Monkey Conservation Network","Destrucción de hábitat por tala selectiva, caza furtiva para el comercio de mascotas","Bosques tropicales de Brasil","Parques nacionales de Brasil como el Parque Nacional de Jaú"
Gato de arena,Un felino pequeño de las regiones áridas amenazado por la caza furtiva y la destrucción del hábitat.,35,img/monitoreo/99_gato.webp,Felis margarita,"Proteger hábitats áridos","WWF Arabia","Caza furtiva, pérdida de hábitat por expansión humana","Desiertos del norte de África y Medio Oriente","Áreas protegidas en Túnez y Marruecos"
Rana de Darwin,Anfibio endémico de Chile que ha sido recientemente redescubierto amenazado por la destrucción de su hábitat.,96,img/monitoreo/100_rana.webp,Rhinoderma darwinii,"Monitoreo de poblaciones","Darwin's Frog Conservation Group","Destrucción de hábitat, contaminación de cursos de agua","Bosques templados del sur de Chile","Áreas protegidas de los Bosques Valdivianos"
Lagarto de cola de látigo,Reptil de zonas secas amenazado por la caza y la pérdida de su hábitat natural.,70,img/monitoreo/101_lagarto.webp,Cnemidophorus lemniscatus,"Proteger zonas áridas","Zonas áridas de América Central","Pérdida de hábitat por expansión agrícola y caza","Desiertos y sabanas de América Central"
Ganso nival,Ave migratoria que habita las regiones frías del norte amenazada por el cambio climático y la caza.,14,img/monitoreo/102_ganso.webp,Anser caerulescens,"Proteger áreas de migración","Wildfowl & Wetlands Trust","Cambio climático que altera rutas migratorias y zonas de reproducción, caza ilegal durante migración","Tundras árticas de América del Norte y humedales del sur de EE.UU.","Áreas de humedales protegidas en Canadá y Alaska"
